Race,Candidate,Vote Type,Locality,Votes
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Nutley Mail-In,3
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Nutley Mail-In,3
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Orange Mail-In,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Orange Mail-In,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Roseland Mail-In,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Roseland Mail-In,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,South Orange Mail-In,3
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,South Orange Mail-In,3
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Verona Mail-In,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Verona Mail-In,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,West Caldwell Mail-In,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,West Caldwell Mail-In,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,West Orange Mail-In,4
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,West Orange Mail-In,4
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Belleville Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Belleville Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Bloomfield Ward 1 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Bloomfield Ward 1 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Bloomfield Ward 2 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Bloomfield Ward 2 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Bloomfield Ward 3 Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Bloomfield Ward 3 Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Caldwell Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Caldwell Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Cedar Grove Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Cedar Grove Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,East Orange Ward 1 Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,East Orange Ward 1 Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,East Orange Ward 2 Provisional,2
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,East Orange Ward 2 Provisional,2
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,East Orange Ward 3 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,East Orange Ward 3 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,East Orange Ward 4 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,East Orange Ward 4 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,East Orange Ward 5 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,East Orange Ward 5 Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Essex Fells Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Essex Fells Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Fairfield Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Fairfield Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Glen Ridge Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Glen Ridge Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Irvington Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Irvington Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Livingston Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Livingston Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Maplewood Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Maplewood Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Millburn Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Millburn Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Montclair Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Montclair Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Newark Provisional 28 LD 1 FD,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Newark Provisional 28 LD 1 FD,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Newark Provisional 28 LD 2 FD,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Newark Provisional 28 LD 2 FD,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Newark Provisional 28 LD 3 FD,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Newark Provisional 28 LD 3 FD,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Newark Provisional 29 LD 1 FD,2
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Newark Provisional 29 LD 1 FD,2
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Newark Provisional 29 LD 2 FD,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Newark Provisional 29 LD 2 FD,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Newark Provisional 29 LD 3 FD,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Newark Provisional 29 LD 3 FD,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,North Caldwell Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,North Caldwell Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Nutley Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Nutley Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Orange Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Orange Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Roseland Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Roseland Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,South Orange Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,South Orange Provisional,1
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Verona Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Verona Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,West Caldwell Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,West Caldwell Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,West Orange Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,West Orange Provisional,0
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Election,Total:,739
For Governor / Lt. Governor (Vote For 1),NBP - KAPER-DALE / DURDEN,Total Votes,Total:,739
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 1-1,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 1-1,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 1-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 1-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 1-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 1-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 1-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 1-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 1-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 1-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 1-6,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 1-6,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 2-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 2-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 2-2,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 2-2,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 2-3,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 2-3,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 2-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 2-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 2-5,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 2-5,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 2-6,4
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 2-6,4
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 2-7,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 2-7,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 2-8,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 2-8,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 3-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 3-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 3-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 3-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 3-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 3-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 3-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 3-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 3-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 3-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 3-6,4
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 3-6,4
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 4-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 4-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 4-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 4-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 4-3,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 4-3,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 4-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 4-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 4-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 4-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Belleville 4-6,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Belleville 4-6,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-2,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-2,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-3,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-3,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-5,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-5,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-6,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-6,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-7,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-7,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-8,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-8,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-10,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-10,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-11,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-11,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 1-12,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 1-12,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-2,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-2,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-4,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-4,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-6,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-6,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-7,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-7,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-8,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-8,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-10,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-10,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 2-11,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 2-11,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-1,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-1,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-5,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-5,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-6,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-6,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-7,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-7,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-8,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-8,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-10,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-10,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-11,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-11,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-12,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-12,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-13,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-13,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Bloomfield 3-14,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Bloomfield 3-14,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Caldwell 1,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Caldwell 1,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Caldwell 2,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Caldwell 2,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Caldwell 3,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Caldwell 3,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Caldwell 4,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Caldwell 4,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Caldwell 5,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Caldwell 5,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Caldwell 6,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Caldwell 6,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Caldwell 7,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Caldwell 7,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 1,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 1,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 2,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 2,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 3,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 3,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 4,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 4,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 5,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 5,2
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 6,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 6,3
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 7,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 7,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 8,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 8,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,Cedar Grove 10,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,Cedar Grove 10,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-2,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-5,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-6,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-6,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-7,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-7,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-9,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-10,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-10,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 1-11,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 1-11,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 2-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 2-1,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 2-2,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 2-2,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 2-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 2-3,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 2-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 2-4,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 2-7,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 2-7,1
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 2-10,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 2-10,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 2-11,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Total Votes,East Orange 2-11,0
For Governor / Lt. Governor (Vote For 1),NBP - RICCARDI /,Election,East Orange 2-12,0
