Race,Candidate,Vote Type,Locality,Votes
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-4,168
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-5,997
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-5,347
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-6,684
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-6,206
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-7,975
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-7,309
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-9,1175
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-9,350
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-10,714
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-10,262
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 1-11,840
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 1-11,300
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 2-1,919
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 2-1,252
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 2-2,887
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 2-2,233
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 2-3,895
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 2-3,229
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 2-4,891
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 2-4,205
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 2-7,1242
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 2-7,266
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 2-10,852
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 2-10,208
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 2-11,926
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 2-11,235
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 2-12,582
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 2-12,155
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-1,675
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-1,249
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-2,805
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-2,234
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-3,518
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-3,170
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-4,736
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-4,208
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-5,666
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-5,195
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-6,622
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-6,214
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-9,986
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-9,358
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-10,648
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-10,227
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-11,938
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-11,390
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-12,808
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-12,267
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 3-14,1000
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 3-14,293
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 4-1,997
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 4-1,259
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 4-2,407
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 4-2,94
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 4-4,962
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 4-4,332
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 4-5,611
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 4-5,178
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 4-6,887
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 4-6,210
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 4-7,980
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 4-7,180
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 4-10,1231
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 4-10,258
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 4-13,955
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 4-13,292
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-1,821
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-1,182
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-3,1235
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-3,322
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-4,526
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-4,86
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-5,791
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-5,210
For Governor / Lt. Governor (Vote For 1),,Registered Voters,East Orange 5-6,933
For Governor / Lt. Governor (Vote For 1),,Total,East Orange 5-6,296
